"SITEVISITID","EXCLUDE_FLAG","MISSIONID","ROUNDID","REGION","ISLAND","SEC_NAME","REEF_ZONE","DEPTH_BIN","SITE","OLD_SITE","TYPE","CLIMATE_STATION_YN","PERM_SITE","OCC_SITEID","HABITAT_CODE","new_MIN_DEPTH_M","new_MAX_DEPTH_M","LATITUDE_SV","LONGITUDE_SV","LATITUDE_LOV","LONGITUDE_LOV","ANALYSIS_YEAR","OBS_YEAR","DATE_","TRANSECT_PHOTOS","PHOTOMOSAIC_YN","benth","fish","arms_d","arms_r","cau_d","cau_r","microb","ARMS","Benthic","CAU","Fish","Oceanography","HUMANS20","HUMANS200","ANALYSIS_SCHEME","bANALYSIS_SCHEME","TUT2012","OTHER_AREA_GROUPING","SPECIAL_PROJ_YN","SPECIAL_PROJ_DESCRIPTION"
4790,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Shallow","OFU-00446","OFU-446","RANDOM",0,0,NA,"SAG",4.5,6.7,-14.15864604,-169.6774596,-14.15864604,-169.6774596,"2012",2012,"4/25/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,790,55502,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4791,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Mid","OFU-00004","OFU-04",NA,0,-1,NA,NA,10,14,-14.17765913,-169.649504,-14.17737,-169.64957,"2012",2012,"4/25/2012",-1,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
4792,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Mid","OFU-00002","OFU-02",NA,0,-1,NA,NA,12,15,-14.1851124,-169.6757348,-14.1846,-169.67602,"2012",2012,"4/25/2012",-1,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
4793,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Mid","OFU-00006","OFU-06",NA,0,-1,"OCC-OFU-014",NA,11,16,-14.17418961,-169.6819533,-14.1738,-169.68182,"2012",2012,"4/25/2012",-1,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
4794,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Deep","OFU-00481","OFU-481","RANDOM",0,0,NA,"AGR",19,27.5,-14.18112429,-169.6524606,-14.18112429,-169.6524606,"2012",2012,"4/25/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,864,55502,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4795,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Mid","OFU-00457","OFU-457","RANDOM",0,0,NA,"AGR",11,19,-14.17672019,-169.6488138,-14.17672019,-169.6488138,"2012",2012,"4/25/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,869,55502,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4796,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Shallow","OFU-00426","OFU-426","RANDOM",0,0,NA,"AGR",4.3,6,-14.17627863,-169.6809073,-14.17627863,-169.6809073,"2012",2012,"4/25/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,795,55502,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4797,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Shallow","OFU-00433","OFU-433","RANDOM",0,0,NA,"AGR",5.5,6.5,-14.17356088,-169.681232,-14.17356088,-169.681232,"2012",2012,"4/25/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,792,55502,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4798,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Deep","OFU-00474","OFU-474","RANDOM",0,0,NA,"APR",20,29,-14.17517314,-169.6828697,-14.17517314,-169.6828697,"2012",2012,"4/25/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,790,55502,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
3816,0,"HA1101",48,"MARIAN","Guam","GUA_WEST_OPEN","Forereef","Mid","GUA-00005","GUA-05",NA,0,-1,NA,NA,11,13,13.57817,144.82834,13.57865,144.82843,"2011",2011,"5/6/2011",0,NA,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
3817,0,"HA1101",48,"MARIAN","Guam","GUA_WEST_OPEN","Forereef","Mid","GUA-00005","GUA-05",NA,0,-1,NA,NA,11,13,13.57798,144.82838,13.57865,144.82843,"2011",2011,"5/6/2011",0,NA,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
7181,0,"HA1401",88,"MARIAN","Guam","GUA_EAST_OPEN","Forereef","Mid","GUA-00008","GUA-08",NA,0,-1,NA,NA,10,12,13.48874,144.87798,13.4888,144.877467,"2014",2014,"3/29/2014",-1,NA,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
6711,0,"HA1401",88,"MARIAN","Guam","GUA_HARBOR","Forereef","Mid","GUA-00012","GUA-12",NA,0,-1,"OCC-GUA-012",NA,12.80097531,13.71533069,13.44874,144.62592,13.44878333,144.6259167,"2014",2014,"4/4/2014",-1,NA,0,0,0,0,1,1,1,0,0,0,0,1,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
10617,0,"HA1701",113,"MARIAN","Guam","GUA_HARBOR","Forereef","Mid","GUA-00012","GUA-12",NA,0,-1,"OCC-GUA-012",NA,13,13,13.4488,144.62593,13.44878333,144.6259167,"2017",2017,"5/3/2017",-1,NA,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
4805,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Mid","OLO-00445","OLO-445","RANDOM",0,0,NA,"AGR",13.7,15.8,-14.17762124,-169.6279101,-14.17762124,-169.6279101,"2012",2012,"4/26/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,934,55502,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4806,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Deep","OFU-00476","OFU-476","RANDOM",0,0,NA,"RRB",24.4,24.4,-14.15394304,-169.683865,-14.15394304,-169.683865,"2012",2012,"4/26/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,520,55502,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4807,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Deep","OFU-00473","OFU-473","RANDOM",0,0,NA,"AGR",20.5,23,-14.15999092,-169.6682214,-14.15999092,-169.6682214,"2012",2012,"4/26/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,818,55502,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4808,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Shallow","OFU-00429","OFU-429","RANDOM",0,0,NA,"AGR",4.3,7,-14.17916142,-169.6514154,-14.17916142,-169.6514154,"2012",2012,"4/26/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,865,55502,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4809,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Deep","OFU-00422","OFU-422","RANDOM",0,0,NA,"AGR",18.2,25,-14.16419226,-169.6558063,-14.16419226,-169.6558063,"2012",2012,"4/26/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,847,55502,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4810,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Mid","OFU-00467","OFU-467","RANDOM",0,0,NA,"SAG",10.6,15.8,-14.16204264,-169.6671622,-14.16204264,-169.6671622,"2012",2012,"4/26/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,823,55502,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4811,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Deep","OLO-00480","OLO-480","RANDOM",0,0,NA,"AGR",21,27,-14.1519727,-169.6175775,-14.1519727,-169.6175775,"2012",2012,"4/26/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,937,55502,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4812,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Shallow","OFU-00425","OFU-425","RANDOM",0,0,NA,"SAG",2.1,6.1,-14.16417558,-169.6324366,-14.16417558,-169.6324366,"2012",2012,"4/26/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,912,55502,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4813,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Mid","OFU-00003","OFU-03",NA,0,-1,"OCC-OFU-012",NA,13,16,-14.18647639,-169.6603663,-14.18653,-169.66115,"2012",2012,"4/26/2012",-1,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
4814,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Mid","OFU-00009","OFU-09",NA,-1,-1,"OCC-OFU-002",NA,10,11,-14.15760677,-169.6740799,-14.15785,-169.67442,"2012",2012,"4/26/2012",-1,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
4815,0,"HA1201",67,"SAMOA","Ofu & Olosega","Ofu & Olosega","Forereef","Mid","OFU-00001","OFU-01",NA,0,-1,"OCC-OFU-004",NA,14,14,-14.164449,-169.6557134,-14.16463,-169.65568,"2012",2012,"4/26/2012",-1,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
3802,0,"HA1101",48,"MARIAN","Guam","GUA_EAST_OPEN","Forereef","Mid","GUA-00013","GUA-13",NA,0,-1,"OCC-GUA-007",NA,9,12.49619019,13.29157,144.76772,13.29163333,144.7677,"2011",2011,"5/5/2011",0,NA,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
6649,0,"HA1401",88,"MARIAN","Guam","GUA_EAST_OPEN","Forereef","Mid","GUA-00013","GUA-13",NA,0,-1,"OCC-GUA-007",NA,12.80097531,12.80097531,13.29157,144.76767,13.29163333,144.7677,"2014",2014,"3/28/2014",-1,NA,0,0,0,0,1,1,0,0,0,0,0,1,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
10703,0,"HA1701",113,"MARIAN","Guam","GUA_EAST_OPEN","Forereef","Mid","GUA-00013","GUA-13",NA,0,-1,"OCC-GUA-007",NA,9,9,13.29149,144.76768,13.29163333,144.7677,"2017",2017,"5/7/2017",-1,NA,0,0,0,0,1,1,0,0,0,0,0,1,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
6625,0,"HA1401",88,"MARIAN","Guam","GUA_TUMON","Forereef","Mid","GUA-00020","GUA-20",NA,-1,0,"OCC-GUA-015",NA,14.3,14.3,13.52894,144.80037,13.52894,144.80037,"2014",2014,"3/25/2014",-1,NA,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
10627,0,"HA1701",113,"MARIAN","Guam","GUA_TUMON","Forereef","Mid","GUA-00020","GUA-20",NA,-1,0,"OCC-GUA-015",NA,14.3,14.3,13.52896,144.80035,13.52894,144.80037,"2017",2017,"5/4/2017",-1,NA,0,0,1,1,1,1,1,0,0,0,0,1,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
4821,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Deep","JAR-00215","JAR-215","RANDOM",0,0,NA,"AGR",12,32,-0.37098932,-160.0102004,-0.37098932,-160.0102004,"2012",2012,"5/3/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4822,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00243","JAR-243","RANDOM",0,0,NA,"AGR",6.7,15.2,-0.37193396,-160.0114638,-0.37193396,-160.0114638,"2012",2012,"5/3/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4824,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00230","JAR-230","RANDOM",0,0,NA,"AGR",13.6,16.9,-0.37956157,-160.0156624,-0.37956157,-160.0156624,"2012",2012,"5/3/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4825,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Shallow","JAR-00255","JAR-255","RANDOM",0,0,NA,"MIX",3.1,5.5,-0.38107224,-160.0096442,-0.38107224,-160.0096442,"2012",2012,"5/3/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4826,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Shallow","JAR-00263","JAR-263","RANDOM",0,0,NA,"SAG",4,9.1,-0.37680309,-160.0140755,-0.37680309,-160.0140755,"2012",2012,"5/3/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4827,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Deep","JAR-00218","JAR-218","RANDOM",0,0,NA,"AGR",17,28,-0.38190448,-159.9980154,-0.38190448,-159.9980154,"2012",2012,"5/3/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4828,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Shallow","JAR-00259","JAR-259","RANDOM",0,0,NA,"AGR",2.04216,2.07264,-0.37919512,-159.9816022,-0.37919512,-159.9816022,"2012",2012,"5/3/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4829,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Shallow","JAR-00262","JAR-262","RANDOM",0,0,NA,"SAG",4,7,-0.3813377,-159.986483,-0.3813377,-159.986483,"2012",2012,"5/3/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4830,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00223","JAR-223","RANDOM",0,0,NA,"AGR",10,13,-0.38226591,-159.9817058,-0.38226591,-159.9817058,"2012",2012,"5/3/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4831,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00228","JAR-228","RANDOM",0,0,NA,"AGR",12,17.7,-0.38225803,-160.0023083,-0.38225803,-160.0023083,"2012",2012,"5/3/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4832,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00004","JAR-04",NA,-1,-1,"OCC-JAR-008",NA,12,15,-0.38233146,-160.0029528,-0.3818,-159.9984,"2012",2012,"5/3/2012",-1,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RAMP_BASIC","NO SCHEME",NA,NA,NA,NA
4833,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00002","JAR-02",NA,0,-1,NA,NA,12,12,-0.38176207,-160.0086958,-0.3813,-160.00823,"2012",2012,"5/3/2012",-1,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RAMP_BASIC","NO SCHEME",NA,NA,NA,NA
4834,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00007","JAR-07",NA,0,-1,"OCC-JAR-011",NA,11,15,-0.3760861,-160.0139193,-0.3764,-160.0144,"2012",2012,"5/3/2012",-1,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RAMP_BASIC","NO SCHEME",NA,NA,NA,NA
6626,0,"HA1401",88,"MARIAN","Guam","GUA_ACHANG","Forereef","Mid","GUA-00021","GUA-21",NA,-1,0,"OCC-GUA-009",NA,13.7,13.7,13.24126317,144.7044194,13.24126317,144.7044194,"2014",2014,"3/26/2014",-1,NA,0,0,1,0,1,0,0,0,0,0,0,1,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
10659,0,"HA1701",113,"MARIAN","Guam","GUA_ACHANG","Forereef","Mid","GUA-00021","GUA-21",NA,-1,0,"OCC-GUA-009",NA,13.7,13.7,13.2421,144.70448,13.24126317,144.7044194,"2017",2017,"5/6/2017",-1,NA,0,0,1,1,1,1,1,0,0,0,0,1,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
4838,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00008","JAR-08",NA,0,-1,"OCC-JAR-001",NA,12,15,-0.36311871,-159.9912139,-0.36334,-159.99086,"2012",2012,"5/4/2012",-1,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RAMP_BASIC","NO SCHEME",NA,NA,NA,NA
4839,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00001","JAR-01",NA,-1,-1,"OCC-JAR-003",NA,11,20,-0.36786253,-159.9791568,-0.36783,-159.97953,"2012",2012,"5/4/2012",-1,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RAMP_BASIC","NO SCHEME",NA,NA,NA,NA
4840,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00010","JAR-10",NA,0,-1,NA,NA,11,16,-0.38137324,-159.9727461,-0.38055,-159.9731,"2012",2012,"5/4/2012",-1,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,"RAMP_BASIC","NO SCHEME",NA,NA,NA,NA
4841,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Deep","JAR-00217","JAR-217","RANDOM",0,0,NA,"AGR",21.2,28,-0.37353649,-159.9729623,-0.37353649,-159.9729623,"2012",2012,"5/4/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4842,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00229","JAR-229","RANDOM",0,0,NA,"AGR",6.4,7.5,-0.36895033,-159.9801929,-0.36895033,-159.9801929,"2012",2012,"5/4/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4843,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00231","JAR-231","RANDOM",0,0,NA,"RRB",7,7.9,-0.37166121,-159.9760771,-0.37166121,-159.9760771,"2012",2012,"5/4/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4844,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00245","JAR-245","RANDOM",0,0,NA,"AGR",10.9,11.2,-0.37500517,-159.9757141,-0.37500517,-159.9757141,"2012",2012,"5/4/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4845,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00241","JAR-241","RANDOM",0,0,NA,"AGR",10.3,11,-0.37950801,-159.9734886,-0.37950801,-159.9734886,"2012",2012,"5/4/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4846,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00247","JAR-247","RANDOM",0,0,NA,"RRB",10,11.3,-0.38190415,-159.97833,-0.38190415,-159.97833,"2012",2012,"5/4/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4847,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Shallow","JAR-00265","JAR-265","RANDOM",0,0,NA,"MIX",3,6,-0.38141364,-159.9966629,-0.38141364,-159.9966629,"2012",2012,"5/4/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4848,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Deep","JAR-00207","JAR-207","RANDOM",0,0,NA,"AGR",16,27,-0.38170751,-160.0115455,-0.38170751,-160.0115455,"2012",2012,"5/4/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4849,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Shallow","JAR-00249","JAR-249","RANDOM",0,0,NA,"SAG",3,7.7,-0.37199732,-160.0105315,-0.37199732,-160.0105315,"2012",2012,"5/4/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
6651,0,"HA1401",88,"MARIAN","Guam","GUA_EAST_OPEN","Forereef","Mid","GUA-00022","GUA-22",NA,-1,0,"OCC-GUA-005",NA,16.5,16.5,13.47516,144.86485,13.47516,144.86485,"2014",2014,"3/29/2014",-1,NA,0,0,1,0,1,0,0,0,0,0,0,1,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
10762,0,"HA1701",113,"MARIAN","Guam","GUA_EAST_OPEN","Forereef","Mid","GUA-00022","GUA-22",NA,-1,0,"OCC-GUA-005",NA,16.5,16.5,13.4752,144.8649,13.47516,144.86485,"2017",2017,"5/14/2017",-1,NA,0,0,0,0,1,1,0,0,0,0,0,1,NA,NA,NA,"NO SCHEME",NA,NA,NA,NA
4852,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Deep","JAR-00211","JAR-211","RANDOM",0,0,NA,"RRB",15.5,28,-0.36151542,-160.0022822,-0.36151542,-160.0022822,"2012",2012,"5/5/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4853,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00237","JAR-237","RANDOM",0,0,NA,"AGR",9.8,10.3,-0.36223023,-159.9962362,-0.36223023,-159.9962362,"2012",2012,"5/5/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4854,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Shallow","JAR-00268","JAR-268","RANDOM",0,0,NA,"SAG",5.4,5.8,-0.36256869,-159.9989159,-0.36256869,-159.9989159,"2012",2012,"5/5/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4855,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00220","JAR-220","RANDOM",0,0,NA,"AGR",10.7,18,-0.36359539,-160.0051169,-0.36359539,-160.0051169,"2012",2012,"5/5/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4856,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Shallow","JAR-00264","JAR-264","RANDOM",0,0,NA,"SAG",3.4,5.5,-0.36706281,-160.0068008,-0.36706281,-160.0068008,"2012",2012,"5/5/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4857,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00219","JAR-219","RANDOM",0,0,NA,"RRB",11.8,13.3,-0.36158532,-159.9990215,-0.36158532,-159.9990215,"2012",2012,"5/5/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4858,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00235","JAR-235","RANDOM",0,0,NA,"RRB",11.8,15.2,-0.36305635,-159.991007,-0.36305635,-159.991007,"2012",2012,"5/5/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4859,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Deep","JAR-00216","JAR-216","RANDOM",0,0,NA,"RRB",19.5,30.2,-0.36482392,-159.98407,-0.36482392,-159.98407,"2012",2012,"5/5/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4860,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00225","JAR-225","RANDOM",0,0,NA,"AGR",8.2,8.5,-0.37326961,-159.9785671,-0.37326961,-159.9785671,"2012",2012,"5/5/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4861,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00221","JAR-221","RANDOM",0,0,NA,"AGR",7.3,7.9,-0.37517608,-159.9800725,-0.37517608,-159.9800725,"2012",2012,"5/5/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4862,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Deep","JAR-00213","JAR-213","RANDOM",0,0,NA,"AGR",16.7,29,-0.3695431,-159.9768091,-0.3695431,-159.9768091,"2012",2012,"5/5/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4863,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00239","JAR-239","RANDOM",0,0,NA,"RRB",7,9,-0.37415424,-159.9747113,-0.37415424,-159.9747113,"2012",2012,"5/5/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
4864,0,"HA1201",68,"PRIAs","Jarvis","Jarvis","Forereef","Mid","JAR-00233","JAR-233","RANDOM",0,0,NA,"AGR",10,11.6,-0.37379348,-159.9762593,-0.37379348,-159.9762593,"2012",2012,"5/5/2012",-1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"RAMP_BASIC","NO SCHEME",NA,NA,NA,""
